OrgNo;FirmaNavn;Status;AntallAnsatte;OrganisasjonsformKode;Naeringskode
997592646;Sb Produksjoner AS;Aktiv;;AS;74.903
912250423;Tannlegene Bergsdal og Skulbru AS;Aktiv;;AS;86.230
988350923;Advokatfirmaet Hienn AS;Slettet;;AS;
998551609;Norfloor Lofoten AS;Aktiv;;AS;46.739
981047168;Hårsveisen AS;Aktiv;;AS;96.020
913472853;Exciter AS;Aktiv;;AS;70.220
993763233;Galleri Ramfjord AS;Aktiv;9;AS;90.033
916497083;Mjelva Invest AS;Aktiv;;AS;68.209
987209704;Ajour Regnskap Mandal AS;Aktiv;7;AS;69.201
912860647;Fell Marine Holding AS;Aktiv;;AS;71.129
916523270;Vaxa Group AS;Aktiv;;AS;68.100
994698672;Fürst & Far Film og Fjernsyn AS;Aktiv;;AS;59.110
912561259;Arctic Rein og Vilt AS;Aktiv;9;AS;10.130
982585058;Maskinentreprenør Kristian Kristiansen AS;Aktiv;40;AS;42.210
891677812;Bodø Volley;Aktiv;;FLI;93.120
916497210;Aag Trafikkskole AS;Aktiv;;AS;85.530
985606633;Geolofoten AS;Aktiv;6;AS;71.123
813837692;Tytlandsvik Aqua AS;Aktiv;36;AS;03.212
915493157;Hårstrået Frisør Narvik AS;Aktiv;5;AS;96.020
926087703;Økonomibyrået A/S;Slettet;;AS;
916570422;Chang Leonard AS;Aktiv;5;AS;96.020
983149065;Mandalitten Restaurantdrift AS;Slettet;;AS;
912738418;Lu Consult AS;Aktiv;;AS;71.129
988936871;Fauske IL Alpint;Aktiv;;FLI;93.120
981580915;Rørleggerfirma VVS-Proffen AS;Aktiv;10;AS;43.221
993044059;Nordvaranger Eiendom AS;Aktiv;;AS;68.320
996761916;Villa Eiendomsutvikling AS;Aktiv;;AS;41.200
999562728;Jlp Invest AS;Slettet;;AS;
916263074;TEMP Holding AS;Aktiv;;AS;55.202
956781302;Ájvan Økonomi AS;Slettet;;AS;
987632380;Grant Thornton Revisjon AS;Aktiv;39;AS;69.202
914813123;Norway Designs AS;Aktiv;17;AS;47.789
916306962;Sørjoh AS;Slettet;;AS;
911712644;Hotspur Holding AS;Aktiv;;AS;68.310
916611145;GN BYGG AS;Aktiv;;AS;41.200
917934436;Åbygg AS;Aktiv;11;AS;41.200
983982964;Ole Liljebakk AS;Aktiv;;AS;41.200
985024510;Rimo Reklame AS;Aktiv;9;AS;18.120
923774688;KBE Maskinutleie AS;Aktiv;12;AS;77.390
916061269;Ballangen Autosenter AS;Aktiv;;AS;33.120
957508979;Bygger'n Boligservice AS;Aktiv;14;AS;47.521
983715737;Boliginnrederne AS;Aktiv;5;AS;74.103
988325686;GLASS I NOR Solskjerming AS;Aktiv;;AS;43.290
990018472;K Thorbergsen Mekaniske AS;Aktiv;;AS;25.620
980965686;Fagernesveien 4 AS;Aktiv;;AS;68.209
996399567;Fasade & Boligteknikk AS;Konkurs;;AS;43.320
992829990;Nordsalten Blikk AS;Aktiv;;AS;43.911
997034112;Berge Anlegg AS;Aktiv;;AS;43.120
969109689;Veteranmopeden.no Christian Westye Egeberg;Aktiv;;ENK;46.750
816561752;thorir.photo AS;Aktiv;;AS;74.200
971172207;Kvito AS;Aktiv;8;AS;88.994
996034534;FIRST Scandinavia Partner AS;Aktiv;;AS;85.609
980455157;Sparebank 1 Regnskapshuset Nord-Norge AS Avd Sortland;Feil;;;
880706802;Pleyms Hvitevare Service;Slettet;;ENK;
963679157;Folkehøgskolen Nord-Norge;Aktiv;15;STI;85.591
998469597;Bjørn frisør AS;Aktiv;15;AS;96.020
875792032;Centrum Eiendom AS;Aktiv;;AS;41.109
895745952;Marius Design AS;Aktiv;;AS;74.102
984086156;Proxima Eiendom AS;Aktiv;;AS;68.209
989837680;Tiva AS;Aktiv;;AS;85.599
992356898;Directa AS;Aktiv;22;AS;69.201
986464492;Optimal Regnskap AS;Aktiv;10;AS;69.201
995606038;Roy Hjelmeland;Aktiv;;ENK;55.202
984633599;Grønt Vedlikehold AS;Aktiv;6;AS;81.300
971435828;Norske Grafikere;Aktiv;6;FLI;94.120
932757249;Hundvåg Fysikalske Institutt AS;Aktiv;;AS;86.902
912009181;AS Glea;Aktiv;35;AS;10.201
911806800;Maestro Eiendom AS;Aktiv;;AS;68.320
997024966;Meko Holding AS;Aktiv;;AS;45.200
948235757;Steigen Oljeservice A/S;Aktiv;23;AS;46.710
882456412;Nordhealth Norway AS;Aktiv;21;AS;58.290
992132957;Sanimalis AS-gammel klient;Slettet;;AS;
991445749;Hamarøy Vekst AS;Aktiv;5;AS;88.994
923627804;Oddmund Groven AS;Aktiv;37;AS;49.410
912066258;Vestsiden Tannlegekontor AS;Aktiv;11;AS;86.230
979889402;Elda Foods AS;Aktiv;5;AS;10.710
971590734;Amphibia AS;Aktiv;;AS;69.201
998362709;S.E.P. Consult AS;Aktiv;5;AS;71.121
911894122;Havbåra AS;Aktiv;;AS;03.111
998131669;JONUS AS;Aktiv;;AS;41.200
916210264;Hygglo AS;Aktiv;;AS;62.010
980387984;Maleriet AS;Aktiv;;AS;43.341
998896312;Kikitepe AS;Aktiv;;AS;90.011
912737551;Manage AS;Aktiv;;AS;68.209
921440626;GRAVALID EIENDOM AS;Aktiv;;AS;68.209
988777773;A Capella AS;Aktiv;;AS;58.290
998322367;BB Montering AS;Aktiv;8;AS;41.200
992932767;Norheim Regnskap AS;Aktiv;7;AS;69.201
974349191;Nordisk Film & TV Fond;Aktiv;8;ANNA;94.992
982587190;FIRST Scandinavia;Aktiv;20;STI;94.992
911912805;Kran og Entreprenørtjenester AS;Aktiv;12;AS;43.120
912892220;United Influencers Norway AS;Aktiv;;AS;90.035
981648714;Ptp Partner Eiendom AS;Aktiv;;AS;68.209
916683898;Essal HHD AS;Aktiv;;AS;55.101
966890134;Det Lille Kjøkken AS;Aktiv;30;AS;56.102
997594541;Garage 15 AS;Aktiv;8;AS;46.620
988639702;Frost Animation;Aktiv;;ENK;59.120
998796938;Stranda Fjellgrend AS;Konkurs;;AS;41.109
919332646;Arth Norderhaug's Eftf AS;Aktiv;7;AS;25.610
985435588;Mikalsen Film og Video;Aktiv;;ENK;47.410
922173478;Opus Økonomi AS;Aktiv;;AS;69.201
897723662;Oasen Tannlege-Senter AS;Aktiv;7;AS;86.230
891991312;Kystbutikken AS;Aktiv;;AS;47.111
958167806;Bygg og Tømrermester Jarle Sørensen;Aktiv;;ENK;41.200
994492772;Ramberg Fisk AS;Slettet;;AS;
988306665;Ugedal Energi AS;Aktiv;;AS;35.111
996487857;Gusterud Bygg AS;Aktiv;16;AS;41.200
985984247;Barnehagen Vier SA;Aktiv;22;SA;88.911
999597599;Eidsvoll Eiendomsutvikling AS;Aktiv;;AS;41.109
919827432;Cadena AS;Aktiv;;AS;68.100
916548311;Pott og Panne AS;Aktiv;;AS;74.903
926441523;NN Regnskap AS;Aktiv;;AS;69.201
999627536;Narvik Flis og Ovnsmontasje AS;Aktiv;;AS;43.990
936979505;KG Consult Industriprodukter AS;Aktiv;;AS;46.900
947719068;NESO SA;Aktiv;21;SA;94.110
992657960;Holmsnes Vannverk SA;Aktiv;;SA;36.000
985066302;Stiftelsen Human Rights Service HRS;Aktiv;;STI;94.991
940964393;Tributum AS;Aktiv;;AS;81.210
958869355;Beveren Sport;Aktiv;;ENK;47.641
914817080;Lege Bernard Holthe AS;Aktiv;;AS;86.211
916672446;Tapebook AS;Aktiv;;AS;46.694
916750382;M. ELLINGSEN SKOGSDRIFT AS;Aktiv;;AS;02.400
993769096;INVENTECH AS;Aktiv;;AS;71.129
916708890;Ventura forlag AS;Aktiv;;AS;58.110
914836433;Nesset Spiseri AS;Aktiv;5;AS;56.101
992567422;Treungenfestival AS;Aktiv;;AS;90.020
992234547;Frejan AS;Aktiv;;AS;68.209
974432153;T Havn AS;Aktiv;;AS;69.201
916612745;SusannaSonata AS;Aktiv;;AS;90.011
991243542;Motor & Marine Rotsund AS;Aktiv;5;AS;45.112
914015170;Tore Audun Haugo, drosjeeigar;Aktiv;;ENK;49.320
977298628;Knai & Knai AS;Aktiv;;AS;74.909
983744745;Sport 1 Hvittingfoss AS;Aktiv;7;AS;47.641
996741419;Maskin-Invest AS;Aktiv;;AS;46.694
816765552;TK Betong og Grunn AS;Aktiv;;AS;71.121
885413692;Martin Freltofte Bygg;Aktiv;;ENK;41.200
970946853;Helgeland Folkehøyskole;Aktiv;;SÆR;85.591
999594689;Langnesværing AS;Aktiv;;AS;03.111
912109356;Myreværing AS;Aktiv;;AS;03.111
930962392;Nord-Norge Eiendomsselskap AS;Aktiv;;AS;68.209
993384437;Alltidklar Hytteservice AS;Aktiv;;AS;43.320
976107209;Henry Hansen Optikk AS;Aktiv;;AS;47.782
982150086;Henry Hansen Eiendom AS;Aktiv;;AS;68.209
911798778;Bodø Andelslandbruk SA;Aktiv;;SA;01.130
951878863;Narvik Bilutleie A/S;Aktiv;;AS;77.110
980398730;Bm-Trading Eiendom Bjørn Martinsen AS;Aktiv;;AS;68.209
912172910;Arctic Chef AS;Aktiv;;AS;56.290
914884748;Henriksen Ventilasjon AS;Aktiv;40;AS;43.223
998643511;Stene Johansen AS;Aktiv;11;AS;81.300
980738787;RegnskapsTeam Hallingdal AS;Aktiv;11;AS;69.201
925348589;Lift Me AS;Aktiv;10;AS;77.320
975257665;Tango Hår og Terapi Jorun Margrete Alvær Hauge;Aktiv;;ENK;96.020
995073307;Orkla Health Ocean AS;Aktiv;30;AS;10.411
915837328;Moment Bygg AS;Slettet;;AS;
815497732;Evja Property AS;Aktiv;;AS;68.100
989699571;Siranee's Thaimat v/Siranee Upawong Viken;Aktiv;;ENK;56.210
816827922;R HANSEN AS;Aktiv;;AS;77.320
915126847;Formula Leasing AS;Aktiv;;AS;77.110
995285835;Odin Entreprenørfirma AS;Aktiv;13;AS;43.341
916763018;YTTEREN IDRETTSPARK EIENDOM AS;Aktiv;;AS;68.209
951575003;Buholmens Byggeselskap AS;Aktiv;9;AS;68.100
995811685;Teamwork Norway AS;Slettet;;AS;
998040663;Stavset Consult AS;Aktiv;;AS;71.121
961050316;Kalle AS;Aktiv;9;AS;55.202
998791782;Mortensen Kystfiske AS;Aktiv;;AS;03.111
998836883;Narvik Betongbrygger AS;Aktiv;;AS;23.610
992105259;Lillerovde Maskin AS;Aktiv;11;AS;43.120
913667204;Nordfra AS;Aktiv;;AS;62.010
915558097;Miljø Container AS;Aktiv;13;AS;38.110
941729746;Kronstad Eiendom AS;Aktiv;;AS;68.100
816572932;Høgebakken Eiendom AS;Aktiv;;AS;68.209
913917685;Bo I Gratangen AS;Aktiv;;AS;68.209
932354551;NONSPACE AS;Aktiv;19;AS;74.102
913664191;Brandpeople AS;Aktiv;8;AS;74.903
911108860;Sev. Dahl & Co AS;Aktiv;;AS;68.100
990046468;Agrolink AS;Aktiv;6;AS;01.130
929880188;Blix Bygg AS;Aktiv;13;AS;41.200
915338011;Park 34 AS;Aktiv;;AS;41.200
896232762;Vannkanten AS;Aktiv;;AS;68.209
816360552;Valle Eie AS;Aktiv;;AS;69.201
993800139;ECIT Viken AS avd Årnes;Aktiv;254;AS;69.201
982961629;Vestfjord Brønnbåtservice AS;Aktiv;;AS;50.202
823422342;Myre Kystfiske AS;Aktiv;;AS;03.111
980015033;Økonomi og Konsulent Service AS;Aktiv;7;AS;69.201
916558880;Essal FH AS;Slettet;;AS;
962399223;Tannlegen I Nesset AS;Slettet;;AS;
998735211;Vornes Kystfiske AS;Aktiv;;AS;03.111
992801964;Bilberging Troms AS;Aktiv;;AS;52.219
924913177;Vesterålen IKT AS;Aktiv;;AS;62.010
994641603;VIKT Consulting AS;Aktiv;6;AS;62.020
981337530;Harald Johansen Eiendom AS;Aktiv;6;AS;68.209
979939949;Joh Ludv Johansen Eiendom AS;Slettet;;AS;
916885814;A Josefsens Eftf AS;Aktiv;;AS;47.710
992396342;Vill & Vakker Medispa AS;Aktiv;;AS;86.909
982913195;Vestmar Regnskap AS;Aktiv;13;AS;69.201
915411150;Fundanor AS;Aktiv;;AS;46.739
989916513;S. Thorbergsen Holding AS;Aktiv;;AS;00.000
916727941;Bjugn Bilservice AS;Aktiv;12;AS;45.200
994018175;Niko Eiendom AS;Aktiv;;AS;68.209
994883291;Langseth Services AS (IKKE PARTNERKLIENTEN);Aktiv;29;AS;69.201
947214489;Kjell Haver Regnskapsservice AS;Aktiv;35;AS;69.201
915583075;Moen Graving og Utleie AS;Aktiv;;AS;43.120
989958860;NARVIK BOWLING OG LEKELAND AS;Aktiv;9;AS;93.110
943592691;Tømmervikgruppen AS;Aktiv;;AS;68.209
886040962;AKS Frisør og Velvære AS;Aktiv;5;AS;96.020
883214072;Hansja Maskin & Utleie Hans J Arntzen;Aktiv;;ENK;43.120
911712148;Geoprovider AS;Aktiv;24;AS;71.122
997516699;Iqon AS;Aktiv;;AS;71.129
998547113;Jorids Lefsebakeri AS;Aktiv;18;AS;10.710
998510228;Benonisen Fiskeri AS;Aktiv;;AS;03.111
996325660;Mohr AS;Aktiv;;AS;09.109
979897952;Geo-42 AS;Aktiv;;AS;71.122
997831918;Geoprovider Seismic AS;Aktiv;;AS;71.122
913580648;Ingeniør Granberg AS;Aktiv;;AS;71.129
989480669;Advokatfirma Bjørn H. Larsen AS;Aktiv;;AS;69.100
996086011;Steig Transport AS;Aktiv;15;AS;49.410
991430741;FRONT FRISØR SANDGATA AS;Aktiv;;AS;96.020
916211627;PU Fabrikken AS;Aktiv;;AS;31.090
984285515;Fuglefjellet AS;Aktiv;10;AS;59.110
996707644;Trac Holding AS;Aktiv;;AS;70.220
989767453;Oa Trading;Aktiv;;ENK;49.320
995516691;Fagernes Boligbygg AS;Aktiv;;AS;77.390
914931118;Eden Aquatech AS;Aktiv;;AS;36.000
989821865;Oddgeir Pettersen;Aktiv;;ENK;68.209
916171099;Craig Alibone Chocolate AS;Aktiv;10;AS;10.710
874496782;Feionor ANS;Aktiv;;ANS;46.442
919255994;Brødrene Jobsen AS;Aktiv;5;AS;43.120
911913119;Djupvikveien 15 AS;Aktiv;;AS;68.209
980025616;Hålogaland Eiendomsutvikling AS;Aktiv;;AS;68.209
916870345;Navidium AS (konkurs);Slettet;;AS;
915569293;Vestmarka Industribygg AS;Aktiv;;AS;68.209
928978508;Bil og Anleggssupport Drift AS;UnderAvvikling;;AS;77.320
916603371;SILVANORD AS;Aktiv;;AS;02.400
975506339;Norske Grafikeres Fond;Aktiv;;ANNA;94.992
916998341;Monica Hellem Photography AS;Aktiv;;AS;74.200
995496763;Runelinvest AS;Slettet;;AS;
888401652;Adwice Sortland AS;Slettet;;AS;
996256553;Vesterålen Storkjøkkensenter AS;Aktiv;6;AS;46.694
988768529;Møysalen Tannklinikk AS;Slettet;;AS;
916945671;A Great Idea AS;Aktiv;;AS;70.220
978647618;Ome Solutions AS;Aktiv;10;AS;69.201
976550420;Hemnes Mek Verksted AS;Aktiv;5;AS;25.110
916612672;Fagkonsulentene AS;Aktiv;;AS;70.220
916884427;Sandsøy Eiendom AS;Aktiv;;AS;68.209
912295044;Aner Holding AS;Aktiv;;AS;68.209
912381226;3a Eiendom 1 AS;Aktiv;;AS;68.209
912381307;3a Eiendom 2 AS;Aktiv;;AS;68.209
912381277;3a Eiendom 3 AS;Aktiv;;AS;68.209
912755061;3a Eiendom 4 AS;Aktiv;;AS;68.209
883391322;Aanerud Bakeri AS;Aktiv;40;AS;10.710
915816614;To Bakere AS;Aktiv;13;AS;10.710
921320787;NDS AS;Slettet;;AS;
916882424;JLK Offshore AS;Aktiv;18;AS;78.200
914600650;ArcticTouch AS;Aktiv;;AS;55.202
814084922;Trond Olsen Mur & Flis AS;Aktiv;;AS;43.990
914344484;CUBE IT AS;Aktiv;;AS;62.020
947839381;Banktrollet barnehage SA;Aktiv;13;SA;88.911
996276783;Slyngstad Eiendom AS;Slettet;;AS;
971282185;Nakholmen Vel;Aktiv;;FLI;94.991
916885830;Dagh Consulting AS;Aktiv;;AS;70.220
916997868;Arctic Trial Racing AS;Aktiv;;AS;74.903
996980685;Bærum Mur og Flis AS;Aktiv;31;AS;43.990
970990534;Fosenlast AS;Aktiv;;AS;49.410
917095019;ABK Teknikk AS;Konkurs;;AS;74.909
989132644;Bgh Invest AS;Aktiv;;AS;45.112
983540384;Salg og Servicepartner Eirik Michaelsen;Aktiv;;ENK;68.209
988455474;Djupdalen Nedre Velforening;Aktiv;;FLI;94.991
913452763;Vesterålen Hageservice-Rune Hansen;Slettet;;ENK;
968349082;Narvik Foreldrelagsbarnehage SA;Aktiv;18;SA;88.911
916847947;Fot & Helse AS;Aktiv;;AS;96.040
992361115;905 WV Eiendom AS;Aktiv;;AS;88.911
990034168;Ballstadværing AS;Aktiv;;AS;03.111
997597079;Straumværing AS;Aktiv;;AS;03.111
984246757;Nesodden Dyreklinikk AS;Aktiv;;AS;75.000
992067357;Norsenga Eiendom AS;Aktiv;;AS;47.521
976504720;Opplæringskontoret for Industrifag Innlandet;Aktiv;;FLI;85.609
913856406;Fa Sápmi;Aktiv;;FLI;93.120
917134693;iPhonelegen AS;Slettet;;AS;
999014313;Gmi Holding Gratangen AS;Aktiv;;AS;28.920
816809932;ANTI AS;Aktiv;59;AS;74.102
919294922;Lia Maskin og Transport AS;Konkurs;;AS;49.410
914389151;Food Lounge AS;Aktiv;11;AS;56.101
994271954;Kongensgate 24 Ålesund AS;Aktiv;;AS;68.209
997244346;Bygda 2.0 AS;Aktiv;;AS;41.109
917145806;GMV Service AS;Aktiv;12;AS;33.150
913014030;Fusa Auto AS;Aktiv;14;AS;45.200
917091358;Cutfab AS;Aktiv;12;AS;31.090
917070970;No Pain No Gain AS;Aktiv;;AS;73.110
936025609;Magnar Nilsen Consulting AS;Aktiv;6;AS;69.201
914454131;NorPro Bygg AS;UnderAvvikling;;AS;41.200
916273584;Hemmingodden Lofoten Fishing Lodge AS;Aktiv;18;AS;55.202
986312161;Grunn og Betong Bodø AS;Aktiv;8;AS;43.120
884321832;Stokkøy Utbygging AS;Aktiv;;AS;41.109
934040996;Sev Dahl Invest AS;Slettet;;AS;
987078278;Sev. Dahl 1867 AS;Aktiv;;AS;68.100
914780659;Godfoten Fotterapi AS;Aktiv;;AS;86.909
991375317;Simplify AS;Slettet;;AS;
917195161;ARCTIC AVIATION AS;Aktiv;29;AS;51.210
983182615;Sameiet Torghallen;Aktiv;;ESEK;
999591450;Nord-Megler AS;Aktiv;8;AS;68.310
989034014;Dino H AS;Aktiv;;AS;68.209
917146594;Reinert AS;Aktiv;;AS;00.000
987709227;Norsk Familieøkonomi Holding AS;Aktiv;;AS;82.990
971494042;HATS - Kompetansesenter for Revy og Teater;Aktiv;28;FLI;94.991
993513938;Follo Barnelege AS;Slettet;;AS;
917193452;Miwell Norge AS;Aktiv;;AS;70.220
993800139;ECIT Services AS avd Skjetten;Aktiv;254;AS;69.201
993800139;ECIT Services AS avd Kongsberg;Aktiv;254;AS;69.201
817156452;Vipcar AS;Aktiv;;AS;77.110
919495324;ECIT Normann & Øygarden AS;Aktiv;27;AS;69.201
982734878;Sunshine Renhold AS;Aktiv;;AS;81.210
993800139;ECIT Services AS avd Fredrikstad;Aktiv;254;AS;69.201
982009936;Magic North as;Aktiv;56;AS;93.291
980386465;PowerOffice Time Testklient;Aktiv;92;AS;58.290
916348797;Narvik Sjåførskole Roger Danielsen;Aktiv;;ENK;85.530
963240910;FDVKONSULT AS;Aktiv;;AS;68.209
986041508;Sjøholt Tannklinikk AS;Aktiv;9;AS;86.230
929694554;Frisikt IT AS;Aktiv;9;AS;62.020
947817418;Networking AS;Aktiv;;AS;68.209
916620721;Prosjekt og Investeringspartner AS;Aktiv;;AS;68.209
816655552;Gloen Kb Invest AS;Slettet;;AS;
917213895;Ar Holding AS;Aktiv;;AS;43.120
919726687;Ekvatek AS;Aktiv;22;AS;37.000
970075070;Sveinung Olsen;Aktiv;;ENK;41.200
917219796;Narvik Composite AS;Aktiv;;AS;71.129
917377766;Teisten AS;Aktiv;;AS;03.111
916336152;FDVcompagniet AS;Aktiv;14;AS;71.121
983255388;Oslo Idrettslag Svømming;Aktiv;358;FLI;93.120
879738342;Braathen & Partners AS;Aktiv;13;AS;69.201
917234884;Nye Kjerringøy Rorbusenter AS;Aktiv;;AS;55.202
989137336;Rune Hilde Invest AS;Aktiv;;AS;86.230
925701572;Tingholmen Eiendom AS;Aktiv;;AS;68.209
977236487;Vadsø Rengjøring AS;Aktiv;8;AS;81.210
993569976;Skalation AS;Aktiv;;AS;70.220
916669313;Steigen Investeringsselskap AS;Aktiv;;AS;68.209
815043782;Inprog API TEST;Slettet;;AS;
996117375;Brødrene Jacobsen Eiendom AS;Aktiv;;AS;68.209
981617770;Stall Bergan AS;Aktiv;6;AS;47.789
916155697;Gamle Ilstad Gård AS;Aktiv;;AS;88.999
983043526;Dælengengt 24 AS;Aktiv;;AS;68.209
919234814;Stormyrveien 37 AS;Aktiv;;AS;46.499
929809556;Nordtro AS;Aktiv;27;AS;88.993
917439869;Promotions.no AS;Aktiv;5;AS;73.110
987698772;Frisørbua AS;Aktiv;5;AS;96.020
965569928;Åsane Allianseidrettslag;Aktiv;;FLI;93.120
996447200;Hans Kristian Stadheim Coaching og Trening;Aktiv;;ENK;85.510
866754802;Aasum Bil AS;Aktiv;6;AS;45.200
971494050;Granbuska barnehage - Sortland;Aktiv;10;SA;88.911
847514582;Gudm Haugstvedt AS;Aktiv;;AS;41.200
911268469;E N Ediassen AS;Aktiv;6;AS;47.772
812830732;Ecit Os AS;Aktiv;12;AS;69.201
915904874;JR Service Narvik AS;UnderAvvikling;;AS;45.200
899541642;Sagene Bryggeri AS;Aktiv;13;AS;11.050
916926014;Storskjæret AS;Aktiv;;AS;68.209
982069483;Norsk Familieøkonomi AS;Aktiv;;AS;82.990
997509781;Stagegaard-Langklopp AS;Aktiv;;AS;43.320
995373068;YVIA;Aktiv;5;FLI;94.120
993800139;ECIT Services AS avd Bergen;Aktiv;254;AS;69.201
991033319;Forfengeligheten AS;Aktiv;5;AS;47.710
979949642;Toten Anlegg og Transport AS;Aktiv;25;AS;43.990
817372902;Langvik Maskin AS;Aktiv;10;AS;43.120
912686086;Store Elvegate 25 AS;Aktiv;;AS;68.320
917427038;Lofoten Glass AS;Aktiv;;AS;23.130
883759702;FDVhuset AS;Aktiv;18;AS;62.010
970918876;TN Dekor AS;Aktiv;;AS;25.990
988816493;Valbjørn Eiendom AS;Aktiv;;AS;68.209
976505689;Stein Erik Stubmo;Aktiv;;ENK;69.201
917485097;MJ MASKINSERVICE AS;Aktiv;5;AS;33.120
917400164;Avon Live Nidaros AS;Aktiv;;AS;90.020
974473372;Nordtek AS;Aktiv;;AS;68.209
987774223;Alfa Økonomi AS;Aktiv;11;AS;69.201
984718667;Sentrumsgården Eigedom AS;Aktiv;;AS;68.209
915361420;Alfateam AS;Aktiv;;AS;70.220
987865245;Huna Sand AS;Aktiv;;AS;08.120
998455030;Wærholm Økonomi AS;Aktiv;;AS;00.000
917338728;Ide Møbler Fauske AS;Aktiv;6;AS;47.591
912186385;Hålandsdal Vekst SA;Aktiv;10;SA;85.201
915529224;Wabi Sabi AS;Aktiv;5;AS;32.120
812178792;T&R Haugen Maskin AS;Aktiv;7;AS;43.120
988383902;Centrum - Tannklinikk AS;Aktiv;6;AS;86.230
916585756;Rallarservice AS;Konkurs;;AS;42.120
917513961;Nordic Mobility AS;Aktiv;;AS;62.020
993230901;Chirita Betongrehabilitering AS;Aktiv;;AS;43.990
920377777;Lavik Dekkservice AS;Aktiv;;AS;45.320
994306618;Grovastøylen AS;Aktiv;;AS;79.903
916584911;Søstrene Lavik AS;Aktiv;;AS;47.112
916860315;DentalEstetics AS;Aktiv;;AS;86.211
993800139;ECIT Services AS avd Jessheim;Aktiv;254;AS;69.201
911833190;Bønner i Byen AS;Aktiv;7;AS;10.830
816273242;Tromsø Sosiale Entreprenørskap AS;Aktiv;;AS;56.101
996460673;Prosjektrådgiveren AS;UnderAvvikling;;AS;71.121
917257434;Haki Mote AS;Aktiv;;AS;47.710
877465772;Zahlfjøsen AS;Aktiv;;AS;68.209
957232167;Fjordesign A/S;Slettet;;AS;
913406818;Caerus Architects AS;Aktiv;7;AS;71.112
996946088;HårTuppan AS;Slettet;;AS;
999156142;Air-Product Norge AS;Aktiv;;AS;46.740
997082680;Johansen Rørleggerservice AS;Aktiv;;AS;43.221
991074651;Penthouse Miradores AS;Aktiv;;AS;68.209
917546355;2Kvik Bygg AS;Aktiv;7;AS;41.200
915109012;Statsnail AS;Aktiv;11;AS;03.111
987563540;SENTRUM ØKONOMI AS;Aktiv;;AS;70.220
981304772;Kvantek AS;Aktiv;5;AS;71.129
917572003;Mediagenten AS;Aktiv;;AS;74.102
953487748;Salgsutvikling AS;Aktiv;;AS;70.210
995340984;Båt & Fritid AS;Aktiv;;AS;47.642
989161245;Heimvik Holding AS;Aktiv;;AS;68.100
914813433;Alfa Nor Regnskap AS;Aktiv;12;AS;69.201
989455087;Hydra Regnskap AS(F);Slettet;;AS;
913515781;JK Krognes AS;Aktiv;;AS;69.201
992768061;BHL DA;Aktiv;28;DA;69.202
998891752;Gislerud Carpets AS;Aktiv;;AS;47.919
916901054;Minimax Lager AS;Aktiv;;AS;68.209
916616031;Kyst-Revisjon AS;Aktiv;;AS;00.000
990311153;Bilpleiehallen AS;Aktiv;18;AS;45.200
992803533;Holmøy Invest AS;Aktiv;;AS;00.000
992803622;KH Invest AS;Aktiv;;AS;64.308
989491067;Ditec Norge AS;Aktiv;;AS;45.320
917525978;Alpha Konsulent AS;Aktiv;;AS;70.220
998341302;Bodø Containerutleie AS;Aktiv;29;AS;77.390
917533458;Absec AS;Aktiv;;AS;46.510
913630254;Lavik Kro AS;Aktiv;13;AS;56.101
992518715;Visit Bodø;Aktiv;6;FLI;79.901
993527270;Oslo Rør & Sanitær AS;Aktiv;7;AS;43.221
999561594;Gullfjell Consulting AS;Aktiv;;AS;70.220
967822760;Fenistra AS;Slettet;;AS;
928461904;JM Føre  AS;Aktiv;24;AS;43.911
912801373;Ditec Holding AS;Aktiv;;AS;45.320
988390275;Gjh AS;Aktiv;;AS;45.200
990494878;Ag Eiendomsinvest AS;Aktiv;;AS;68.209
897645262;Utsyn Industrier AS;Aktiv;;AS;77.320
992803576;BOK-Holding AS;Aktiv;;AS;64.308
988107131;Ag Holding AS;Aktiv;;AS;68.209
986692029;Norkontor AS;Aktiv;;AS;46.650
928091678;Strandvik Transport og Maskin AS;Aktiv;28;AS;49.410
930916935;Fusa Elektro AS;Aktiv;15;AS;43.210
915860257;Heartmakermusic AS;Aktiv;;AS;90.032
985866406;Seljebo Seljestadvegen 7;Aktiv;;ESEK;
976299272;Atlas Helse og Miljøtjenester AS;Aktiv;;AS;86.211
997923472;Takstteam Vesterålen AS;Aktiv;5;AS;74.901
916974841;Pedal Holding AS;Aktiv;;AS;64.308
815450132;Medier24 AS;Aktiv;21;AS;58.130
998484839;Hårek Salong AS;Slettet;;AS;
916196059;Grønne Frisører AS;Slettet;;AS;
911839962;Aktivitetsdosetten AS;Slettet;;AS;
917882282;Linn Furnes Hudpleie;Slettet;;ENK;
996861589;Baggfossen Mikrokraft AS;Slettet;;AS;
989060341;Orian AS;Aktiv;;AS;25.620
912610160;Hammer & Kolaas AS;Konkurs;;AS;68.209
913630696;Gagn Accounting AS;Slettet;;AS;
911802929;FMK Holding AS;Aktiv;;AS;68.100
979598165;Well Intervention Management AS;Slettet;;AS;
964721602;Norsk Hundeutstyr Karina Ingeborg Åmodt;Aktiv;;ENK;47.762
915634222;Tingvollfisk AS;Slettet;;AS;
918536108;Snekkergutta;Aktiv;8;AS;41.200
886659792;Wallbox AS;Aktiv;;AS;46.520
915887872;Botngaard Bioprotix AS;Slettet;;AS;
